ANZSCO_Code,Occupation,ANZSCO Code  DIGITS
399914,Optical Mechanics,6
399915,Photographer's Assistants,6
399916,Plastics Technicians,6
399917,Wool Classers,6
399918,Fire Protection Equipment Technicians,6
399999,Technicians and Trades Workers (not covered elsewhere),6
411111,Ambulance Officers,6
411112,Intensive Care Ambulance Paramedics,6
411211,Dental Hygienists,6
411212,Dental Prosthetists,6
411213,Dental Technicians,6
411214,Dental Therapists,6
411411,Enrolled Nurses,6
411412,Mothercraft Nurses,6
411711,Community Workers,6
411712,Disabilities Services Officers,6
411713,Family Support Workers,6
411714,Parole and Probation Officers,6
411715,Residential Care Officers,6
411716,Youth Workers,6
421111,Child Care Workers,6
421112,Family Day Care Workers,6
421113,Nannies,6
421114,Out of School Hours Care Workers,6
422111,Aboriginal and Torres Strait Islander Education Workers,6
422112,Integration Aides,6
422115,Preschool Aides,6
422116,Teachers' Aides,6
423311,Hospital orderlies,6
423312,Nursing Support Workers,6
423313,Personal Care Assistants,6
423314,Therapy Aides,6
423411,Child and Youth Residential Care Assistants,6
423412,Hostel Parents,6
423413,Refuge Workers,6
431111,Bar Attendants,6
431112,Baristas,6
431911,Bar Usefuls and Bussers,6
431912,Doorpersons and Luggage Porters,6
431999,Hospitality Workers (not covered elsewhere),6
441211,Emergency Service Workers,6
441212,Fire Fighters,6
441311,Detectives,6
441312,Police Officers,6
442211,"Alarm, Security and Surveillance Monitors",6
442212,Armoured Car Escorts,6
442213,Crowd Controllers,6
442214,Private Investigators,6
442215,Retail Loss Prevention Officers,6
442216,Security Consultants,6
442217,Security Officers,6
442299,Other Security Workers,6
451311,Funeral Directors,6
451399,Funeral Workers (Other),6
451411,Gallery and Museum Guides,6
451412,Tour Guides,6
451511,Natural Remedy Consultants,6
451512,Weight Loss Consultants,6
451513,Herbalists (Western),6
451611,Tourist Information Officers,6
451612,Travel Consultants,6
451711,Flight Attendants,6
451799,Other Travel Attendants,6
451811,Civil Celebrants,6
451812,Hair and Beauty Salon Assistants,6
451814,Body Artists,6
451815,First Aid Trainers,6
451816,Religious Assistants,6
451899,Personal Service Workers (not covered elsewhere),6
452211,Bungy Jump Masters,6
452212,Fishing Guides,6
452213,Hunting Guides,6
452214,Mountain and Glacier Guides,6
452215,Outdoor Adventure Instructors,6
452216,Trekking Guides,6
452217,Whitewater Rafting Guides,6
452299,Other Outdoor Adventure Guides,6
452311,"Scuba, Snorkelling and Dive instructors",6
452312,Gymnastics Coaches and Instructors,6
452313,Horse Riding Coaches and Instructors,6
452314,Snowsport Instructors,6
452315,Swimming Coaches and Instructors,6
452316,Tennis Coaches,6
452317,Other Sports Coaches and Instructors,6
452318,Dog and Horse Racing Officials,6
452321,Sports Development Officers,6
452322,Sports Umpires,6
452323,Other Sports Officials,6
452411,"Footballers (Soccer, Rugby and AFL)",6
452412,Golfers,6
452413,Jockeys,6
452414,Lifeguards,6
452499,Other Sportspersons,6
511111,Contract Administrators,6
511112,Program and Project Administrators,6
512211,Health Practice Managers,6
512299,Other Practice Managers,6
521211,Secretaries (General),6
521212,Legal Secretaries,6
532111,Data Entry Operators,6
532112,Machine Shorthand Reporters,6
532113,Typists,6
541111,Call Centre or Contact Centre Team Leaders,6
541112,Call Centre or Contact Centre Operators,6
542111,Receptionists (General),6
542112,Admissions Clerks,6
542113,Hotel and Motel Receptionists,6
542114,Medical Receptionists,6
551111,Accounts Clerks,6
551112,Cost Clerks,6
552311,Bookmakers,6
552312,Insurance Consultants,6
552313,Money Market Clerks,6
552314,Statistical Clerks,6
561111,Betting Agency Counter Clerks,6
561112,Bookmaker's Clerks,6
561113,Telephone Betting Clerks,6
561199,Other Betting Clerks,6
561211,Couriers,6
561212,Postal Delivery Officers,6
561411,Mail Clerks,6
561412,Postal Sorting Officers,6
561911,Classified Advertising Clerks,6
561912,Meter Readers,6
561913,Parking Inspectors,6
561999,Clerical and Office Support Workers (not covered elsewhere),6
591112,Production Clerks,6
591113,Purchasing Officers,6
591115,Stock Clerks,6
591116,Warehouse Administrators,6
591117,Order Clerks,6
591211,Despatching and Receiving Clerks,6
591212,Import-Export Clerks,6
599111,Conveyancers,6
599112,Legal Executives,6
599211,Clerks of Court,6
599212,Court Bailiffs and Sheriffs,6
599213,Court Orderlies,6
599214,Law Clerks,6
599215,Trust Officers,6
599511,Customs Officers,6
599512,Immigration Officers,6
599513,Motor Vehicle Licence Examiners,6
599514,Noxious Weeds and Pest Inspectors,6
599515,Social Security Assessors,6
599516,Taxation Inspectors,6
599517,Train Examiners,6
599518,Transport Operations Inspectors,6
599521,Water Inspectors,6
599599,Other Inspectors and Regulatory Officers,6
599611,Insurance Investigators,6
599612,Insurance Loss Adjusters,6
599613,Insurance Risk Surveyors,6
599912,"Production Assistants (Film, Television, Radio or Stage)",6
599913,Proof Readers,6
599914,Radio Despatchers,6
599915,Clinical Coders,6
599916,Facilities Administrators,6
599999,Clerical and Administrative Workers (not covered elsewhere),6
611111,Auctioneers,6
611112,Stock and Station Agents,6
611311,Sales Representatives (Building and Plumbing Supplies),6
611312,Sales Representatives (Business Services),6
611313,Sales Representatives (Motor Vehicle Parts and Accessories),6
611314,Sales Representatives (Personal and Household Goods),6
611399,Other Sales Representatives,6
612111,Business Brokers,6
612112,Property Managers,6
612113,Real Estate Agency Principals,6
612114,Real Estate Agents,6
612115,Real Estate Representatives,6
621311,Motor Vehicle and Caravan Salespersons,6
621312,Motor Vehicle Parts Interpreters,6
621711,Cash Van Salespersons,6
621712,Door-to-door Salespersons,6
621713,Street Vendors,6
621911,Materials Recyclers,6
621912,Rental Salespersons,6
621999,Sales Assistants and Salespersons (not covered elsewhere),6
631111,Checkout Operators,6
631112,Cashiers,6
639111,Models,6
639112,Sales Demonstrators,6
639211,Retail Buyers,6
639212,Wool Buyers,6
639411,Ticket Sellers,6
639412,Transport Conductors,6
711111,Clay Products Machine Operators,6
711112,Concrete Products Machine Operators,6
711113,Glass Production Machine Operators,6
711114,Stone Processing Machine Operators,6
711199,"Other Clay, Concrete, Glass and Stone Processing Machine Operators",6
711311,Paper Products Machine Operators,6
711313,Sawmilling Operators,6
711314,Other Wood Processing Machine Operators,6
711511,Plastic Cablemaking Machine Operators,6
711512,Plastic Compounding and Reclamation Machine Operators,6
711513,Plastics Fabricators and Welders,6
711514,Plastics Production Machine Operators (General),6
711515,Reinforced Plastic and Composite Production Workers,6
711516,Rubber Production Machine Operators,6
711599,Other Plastics and Rubber Production Machine Operators,6
711711,Footwear Production Machine Operators,6
711712,Hide and Skin Processing Machine Operators,6
711713,Knitting Machine Operators,6
711714,Textile Dyeing and Finishing Machine Operators,6
711715,Weaving Machine Operators,6
711716,Yarn Carding and Spinning Machine Operators,6
711799,Other Textile and Footwear Production Machine Operators,6
711911,Chemical Production Machine Operators,6
711912,Motion Picture Projectionists,6
711913,Sand Blasters,6
711914,Sterilisation Technicians,6
711999,Machine Operators (not covered elsewhere),6
712211,Drillers,6
712212,Miners,6
712213,Shot Firers,6
712911,Boiler and Engine Operators,6
712912,Bulk Materials Handling Plant Operators,6
712913,Cement Production Plant Operators,6
712914,Concrete Batching Plant Operators,6
712915,Concrete Pump Operators,6
712916,Paper and Pulp Mill Operators,6
712917,Railway Signal Operators,6
712918,Train Controllers,6
712921,Waste Water and Water Plant Operators,6
712922,Weighbridge Operators,6
712999,Stationary Plant Operators (not covered elsewhere),6
721111,Agricultural and Horticultural Mobile Plant Operators,6
721112,Logging Plant Operators,6
721211,Earthmoving Plant Operators (General),6
721212,Backhoe Operators,6
721213,Bulldozer Operators,6
721214,Excavator Operators,6
721215,Grader Operators,6
721216,Loader Operators,6
721911,Aircraft Baggage Handlers and Airline Ground Crews,6
721912,Linemarkers,6
721913,Paving Plant Operators,6
721914,Railway Track Plant Operators,6
721915,Road Roller Operators,6
721916,Streetsweeper Operators,6
721999,Mobile Plant Operators (not covered elsewhere),6
731111,Chauffeurs,6
731112,Taxi Drivers,6
731199,Other Automobile Drivers,6
731211,Bus Drivers,6
731212,Charter and Tour Bus Drivers,6
731213,Passenger Coach Drivers,6
731311,Train Drivers,6
731312,Tram Drivers,6
733111,Truck Drivers (General),6
733112,Aircraft Refuellers,6
733113,Furniture Removalist Drivers,6
733114,Tanker Drivers,6
733115,Tow Truck Drivers,6
811411,Commercial Housekeepers,6
811412,Domestic Housekeepers,6
811511,Laundry Workers (General),6
811512,Drycleaners,6
811513,Ironers and Pressers,6
811611,Carpet Cleaners,6
811612,Window Cleaners,6
811699,Cleaners (not covered elsewhere),6
821111,Builder's Labourers,6
821112,"Drainage, Sewerage and Stormwater Labourers",6
821113,Earthmoving Labourers,6
821114,Plumber's Assistants,6
821411,Building Insulation Installers,6
821412,Home Improvement Installers,6
821711,Construction Riggers,6
821712,Scaffolders,6
821713,Steel Fixers,6
821714,Structural Steel Erectors,6
821911,Crane Chasers,6
821912,Driller's Assistants,6
821913,Laggers,6
821914,Mining Support Workers,6
821915,Surveyor's Assistants,6
831111,Baking Factory Workers,6
831112,Brewery Workers,6
831113,Confectionery Makers,6
831114,Dairy Products Makers,6
831115,Fruit and Vegetable Factory Workers,6
831116,Grain Mill Workers,6
831117,Sugar Mill Workers,6
831118,Winery Cellar Hands,6
831199,Other Food and Drink Factory Workers,6
831211,Meat Boners and Slicers,6
831212,Slaughterers,6
831311,Meat Process Workers,6
831312,Poultry Process Workers,6
831313,Seafood Process Workers,6
832111,Chocolate Packers,6
832112,Container Fillers,6
832113,Fruit and Vegetable Packers,6
832114,Meat Packers,6
832115,Seafood Packers,6
832199,Other Packers,6
839211,Plastics Factory Workers,6
839212,Rubber Factory Workers,6
839311,Product Examiners,6
839312,Product Graders,6
839313,Product Testers,6
839411,Paper and Pulp Mill Workers,6
839412,Sawmill and Timber Yard Workers,6
839413,Wood and Wood Products Factory Workers,6
839911,Cement and Concrete Plant Workers,6
839912,Chemical Plant Workers,6
839913,Clay Processing Factory Workers,6
839914,Fabric and Textile Factory Workers,6
839915,Footwear Factory Workers,6
839916,Glass Processing Workers,6
839917,Hide and Skin Processing Workers,6
839918,Recycling Workers,6
839999,Factory Process Workers (not covered elsewhere),6
841211,Fruit and Nut Farm Workers,6
841212,Fruit and Nut Pickers,6
841213,"Grain, Oilseed and Pasture Farm Workers",6
841214,Vegetable Farm Workers,6
841215,Vegetable Pickers,6
841216,Vineyard Workers,6
841217,Mushroom Pickers,6
841299,Other Crop Farm Workers,6
841311,Forestry Workers,6
841312,Logging Assistants,6
841313,Tree Fallers,6
841411,Garden Labourers,6
841412,Nursery Hands (Horticulture),6
841511,Beef Cattle Farm Workers,6
841512,Dairy Cattle Farm Workers,6
841513,Mixed Livestock Farm Workers,6
841514,Poultry Farm Workers,6
841515,Sheep Farm Workers,6
841516,Stablehands,6
841517,Wool Handlers,6
841599,Other Livestock Farm Workers,6
841911,Hunter-Trappers,6
841913,Pest Controllers,6
841999,"Farm, Forestry and Garden Workers (not covered elsewhere)",6
851211,Pastrycook's Assistants,6
851299,Other Food Trades Assistants,6
891111,Freight Handlers (Rail or Road),6
891112,Truck Driver's Offsiders,6
891113,Waterside Workers,6
899211,Deck Hands,6
899212,Fishing Hands,6
899411,Motor Vehicle Parts and Accessories Fitters (General),6
899412,Autoglaziers,6
899413,Exhaust and Muffler Repairers,6
899414,Radiator Repairers,6
899415,Tyre Fitters,6
899511,Printer's Assistants,6
899512,Printing Table Workers,6
899911,Bicycle Mechanics,6
899912,Car Park Attendants,6
899913,Crossing Supervisors,6
899914,Electrical and Telecommunications Trades Assistants,6
899915,Leaflet and Newspaper Deliverers,6
899916,Mechanic's Assistants,6
899917,Railways Assistants,6
899918,Sign Erectors,6
899921,Ticket Collectors and Ushers,6
899922,Trolley Collectors,6
899923,Road Traffic Controllers,6
899999,Labourers (not covered elsewhere),6
