ANZSCO_Code,Occupation,ANZSCO Code  DIGITS
3921,Print Finishers and Screen Printers,4
3922,Graphic Pre-press Trades Workers,4
3923,Printers,4
3931,Canvas and Leather Goods Makers,4
3932,Clothing Trades Workers,4
3933,Upholsterers,4
3941,Cabinetmakers,4
3942,Wood Machinists and Other Wood Trades Workers,4
3991,Boat Builders and Shipwrights,4
3992,"Chemical, Gas, Petroleum and Power Plant Operators",4
3993,"Gallery, Library and Museum Technicians",4
3994,Jewellers,4
3995,Performing Arts Technicians,4
3996,Signwriters,4
3999,Other Miscellaneous Technicians and Trades Workers,4
4111,Ambulance Officers and Paramedics,4
4112,"Dental Hygienists, Technicians and Therapists",4
4113,Diversional Therapists,4
4114,Enrolled and Mothercraft Nurses,4
4115,Indigenous Health Workers,4
4116,Massage Therapists,4
4117,Welfare Support Workers,4
4211,Child Carers,4
4221,Education Aides,4
4231,Aged and Disabled Carers,4
4232,Dental Assistants,4
4233,Nursing Support and Personal Care Workers,4
4234,Special Care Workers,4
4311,Bar Attendants and Baristas,4
4312,Cafe Workers,4
4313,Gaming Workers,4
4314,Hotel Service Managers,4
4315,Waiters,4
4319,Other Hospitality Workers,4
4411,Defence Force Members - Other Ranks,4
4412,Fire and Emergency Workers,4
4413,Police,4
4421,Prison Officers,4
4422,Security Officers and Guards,4
4511,Beauty Therapists,4
4512,Driving Instructors,4
4513,Funeral Workers,4
4514,"Gallery, Museum and Tour Guides",4
4515,Personal Care Consultants,4
4516,Tourism and Travel Advisers,4
4517,Travel Attendants,4
4518,Other Personal Service Workers,4
4521,Fitness Instructors,4
4522,Outdoor Adventure Guides,4
4523,"Sports Coaches, Instructors and Officials",4
4524,Sportspersons,4
5111,"Contract, Program and Project Administrators",4
5121,Office Managers,4
5122,Practice Managers,4
5211,Personal Assistants,4
5212,Secretaries,4
5311,General Clerks,4
5321,Keyboard Operators,4
5411,Call or Contact Centre Workers,4
5412,Information Officers,4
5421,Receptionists,4
5511,Accounting Clerks,4
5512,Bookkeepers,4
5513,Payroll Clerks,4
5521,Bank Workers,4
5522,Credit and Loans Officers,4
5523,"Insurance, Money Market and Statistical Clerks",4
5611,Betting Clerks,4
5612,Couriers and Postal Deliverers,4
5613,Filing and Registry Clerks,4
5614,Mail Sorters,4
5615,Survey Interviewers,4
5616,Switchboard Operators,4
5619,Other Clerical and Office Support Workers,4
5911,Purchasing and Supply Logistics Clerks,4
5912,Transport and Despatch Clerks,4
5991,Conveyancers and Legal Executives,4
5992,Court and Legal Clerks,4
5993,Debt Collectors,4
5994,Human Resource Clerks,4
5995,Inspectors and Regulatory Officers,4
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",4
5997,Library Assistants,4
5999,Other Miscellaneous Clerical and Administrative Workers,4
6111,"Auctioneers, and Stock and Station Agents",4
6112,Insurance Agents,4
6113,Sales Representatives,4
6121,Real Estate Sales Agents,4
6211,Sales Assistants (General),4
6212,ICT Sales Assistants,4
6213,Motor Vehicle and Vehicle Parts Salespersons,4
6214,Pharmacy Sales Assistants,4
6215,Retail Supervisors,4
6216,Service Station Attendants,4
6217,Street Vendors and Related Salespersons,4
6219,Other Sales Assistants and Salespersons,4
6311,Checkout Operators and Office Cashiers,4
6391,Models and Sales Demonstrators,4
6392,Retail and Wool Buyers,4
6393,Telemarketers,4
6394,Ticket Salespersons,4
6395,Visual Merchandisers,4
6399,Other Sales Support Workers,4
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",4
7112,Industrial Spraypainters,4
7113,Paper and Wood Processing Machine Operators,4
7114,Photographic Developers and Printers,4
7115,Plastics and Rubber Production Machine Operators,4
7116,Sewing Machinists,4
7117,Textile and Footwear Production Machine Operators,4
7119,Other Machine Operators,4
7121,"Crane, Hoist and Lift Operators",4
7122,"Drillers, Miners and Shot Firers",4
7123,Engineering Production Workers,4
7129,Other Stationary Plant Operators,4
7211,"Agricultural, Forestry and Horticultural Plant Operators",4
7212,Earthmoving Plant Operators,4
7213,Forklift Drivers,4
7219,Other Mobile Plant Operators,4
7311,Automobile Drivers,4
7312,Bus and Coach Drivers,4
7313,Train and Tram Drivers,4
7321,Delivery Drivers,4
7331,Truck Drivers,4
7411,Storepersons,4
8111,Car Detailers,4
8112,Commercial Cleaners,4
8113,Domestic Cleaners,4
8114,Housekeepers,4
8115,Laundry Workers,4
8116,Other Cleaners,4
8211,Building and Plumbing Labourers,4
8212,Concreters,4
8213,Fencers,4
8214,Insulation and Home Improvement Installers,4
8215,Paving and Surfacing Labourers,4
8216,Railway Track Workers,4
8217,Structural Steel Construction Workers,4
8219,Other Construction and Mining Labourers,4
8311,Food and Drink Factory Workers,4
8312,"Meat Boners and Slicers, and Slaughterers",4
8313,"Meat, Poultry and Seafood Process Workers",4
8321,Packers,4
8322,Product Assemblers,4
8391,Metal Engineering Process Workers,4
8392,Plastics and Rubber Factory Workers,4
8393,Product Quality Controllers,4
8394,Timber and Wood Process Workers,4
8399,Other Factory Process Workers,4
8411,Aquaculture Workers,4
8412,Crop Farm Workers,4
8413,Forestry and Logging Workers,4
8414,Garden and Nursery Labourers,4
8415,Livestock Farm Workers,4
8416,Mixed Crop and Livestock Farm Workers,4
8419,"Other Farm, Forestry and Garden Workers",4
8511,Fast Food Cooks,4
8512,Food Trades Assistants,4
8513,Kitchenhands,4
8911,Freight and Furniture Handlers,4
8912,Shelf Fillers,4
8991,Caretakers,4
8992,Deck and Fishing Hands,4
8993,Handypersons,4
8994,Motor Vehicle Parts and Accessories Fitters,4
8995,Printing Assistants and Table Workers,4
8996,Recycling and Rubbish Collectors,4
8997,Vending Machine Attendants,4
8999,Other Miscellaneous Labourers,4
111211,Corporate General Managers,6
111212,Defence Force Senior Officers,6
111311,Local Government Legislators,6
111312,Members of Parliament,6
111399,Other Legislators,6
121211,Cotton Growers,6
121212,Flower Growers,6
121213,Fruit and Nut Growers,6
121214,"Grain, Oilseed and Pasture Growers",6
121215,Grape Growers,6
121216,Mixed Crop Farmers,6
121217,Sugar Cane Growers,6
121218,Turf Growers,6
121221,Vegetable Growers,6
121299,Other Crop Farmers,6
121311,Beekeepers,6
121312,Beef Cattle Farmers,6
121313,Dairy Cattle Farmers,6
121314,Deer Farmers,6
121315,Goat Farmers,6
121316,Horse Breeders,6
121317,Mixed Livestock Farmers,6
121318,Pig Farmers,6
121321,Poultry Farmers,6
121322,Sheep Farmers,6
121399,Other Livestock Farmers,6
131112,Sales and Marketing Managers,6
131113,Advertising Managers,6
131114,Public Relations Managers,6
133111,Construction Project Managers,6
133112,Project Builders,6
133311,Importers and Exporters,6
133312,Wholesalers,6
133511,Forest Managers,6
133512,Manufacturing Production Managers,6
133513,Mine Managers,6
133611,Supply and Distribution Managers,6
133612,Procurement Managers,6
134211,Medical Administrators,6
134212,Nursing Clinical Directors,6
134213,Primary Health Organisation Managers,6
134214,Welfare Centre Managers,6
134299,Other Health and Welfare Services Managers,6
134411,Faculty Heads,6
134412,Regional Education Managers,6
134499,Education Managers (not covered elsewhere),6
135111,Chief Information Officers,6
135112,ICT Project Managers,6
135199,Other ICT Managers,6
139111,Commissioned Defence Force Officers,6
139112,Commissioned Fire Officers,6
139113,Commissioned Police Officers,6
139911,Arts Administrators and Managers,6
139912,Environmental Managers,6
139913,Laboratory Managers,6
139914,Quality Assurance Managers,6
139915,Sports Administrators,6
139999,Specialist Managers (not covered elsewhere),6
141911,Bed and Breakfast Operators,6
141912,Retirement Village Managers,6
141999,Accommodation and Hospitality Managers (not covered elsewhere),6
142111,Retail Managers (General),6
142112,Antique Dealers,6
142113,Betting Agency Managers,6
142114,Hair and Beauty Salon Managers,6
142115,Post Office Managers,6
142116,Travel Agency Managers,6
149111,Amusement Centre Managers,6
149112,Fitness Centre Managers,6
149113,Sports Centre Managers,6
149211,Call Centre or Contact Centre Managers,6
149212,Customer Service Managers,6
149411,Fleet Managers,6
149412,Railway Station Managers,6
149413,Transport Company Managers,6
149911,Boarding Kennel and Cattery Operators,6
149912,Cinema and Theatre Managers,6
149913,Facilities Managers,6
149914,Bank Managers and Branch Managers,6
149915,Equipment Hire Managers,6
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",6
211111,Actors,6
211112,Dancers and Choreographers,6
211113,Entertainers and Variety Artists,6
211199,"Other Actors, Dancers and Entertainers",6
211211,Composers,6
211212,Music Directors,6
211213,Musicians,6
211214,Singers,6
211299,Other Music Professionals,6
211411,Painters (Visual Arts),6
211412,Potters and Ceramic Artists,6
211413,Sculptors,6
211499,Other Visual Arts or Crafts Professionals,6
212111,Artistic Directors,6
212112,Media Producers,6
212113,Radio Presenters,6
212114,Television Presenters,6
212211,Authors,6
212212,Book and Script Editors,6
212311,"Art Directors (Film, Television or Stage)",6
212312,"Directors (Film, Television, Radio or Stage)",6
212313,Cinematographers,6
