ANZSCO Code 4 DIGITS,ANZSCO Code - Copy,Occupation,ANZSCO Code  DIGITS
7129,712999,Stationary Plant Operators (not covered elsewhere),6
7211,721111,Agricultural and Horticultural Mobile Plant Operators,6
7211,721112,Logging Plant Operators,6
7212,721211,Earthmoving Plant Operators (General),6
7212,721212,Backhoe Operators,6
7212,721213,Bulldozer Operators,6
7212,721214,Excavator Operators,6
7212,721215,Grader Operators,6
7212,721216,Loader Operators,6
7219,721911,Aircraft Baggage Handlers and Airline Ground Crews,6
7219,721912,Linemarkers,6
7219,721913,Paving Plant Operators,6
7219,721914,Railway Track Plant Operators,6
7219,721915,Road Roller Operators,6
7219,721916,Streetsweeper Operators,6
7219,721999,Mobile Plant Operators (not covered elsewhere),6
7311,731111,Chauffeurs,6
7311,731112,Taxi Drivers,6
7311,731199,Other Automobile Drivers,6
7312,731211,Bus Drivers,6
7312,731212,Charter and Tour Bus Drivers,6
7312,731213,Passenger Coach Drivers,6
7313,731311,Train Drivers,6
7313,731312,Tram Drivers,6
7331,733111,Truck Drivers (General),6
7331,733112,Aircraft Refuellers,6
7331,733113,Furniture Removalist Drivers,6
7331,733114,Tanker Drivers,6
7331,733115,Tow Truck Drivers,6
8114,811411,Commercial Housekeepers,6
8114,811412,Domestic Housekeepers,6
8115,811511,Laundry Workers (General),6
8115,811512,Drycleaners,6
8115,811513,Ironers and Pressers,6
8116,811611,Carpet Cleaners,6
8116,811612,Window Cleaners,6
8116,811699,Cleaners (not covered elsewhere),6
8211,821111,Builder's Labourers,6
8211,821112,"Drainage, Sewerage and Stormwater Labourers",6
8211,821113,Earthmoving Labourers,6
8211,821114,Plumber's Assistants,6
8214,821411,Building Insulation Installers,6
8214,821412,Home Improvement Installers,6
8217,821711,Construction Riggers,6
8217,821712,Scaffolders,6
8217,821713,Steel Fixers,6
8217,821714,Structural Steel Erectors,6
8219,821911,Crane Chasers,6
8219,821912,Driller's Assistants,6
8219,821913,Laggers,6
8219,821914,Mining Support Workers,6
8219,821915,Surveyor's Assistants,6
8311,831111,Baking Factory Workers,6
8311,831112,Brewery Workers,6
8311,831113,Confectionery Makers,6
8311,831114,Dairy Products Makers,6
8311,831115,Fruit and Vegetable Factory Workers,6
8311,831116,Grain Mill Workers,6
8311,831117,Sugar Mill Workers,6
8311,831118,Winery Cellar Hands,6
8311,831199,Other Food and Drink Factory Workers,6
8312,831211,Meat Boners and Slicers,6
8312,831212,Slaughterers,6
8313,831311,Meat Process Workers,6
8313,831312,Poultry Process Workers,6
8313,831313,Seafood Process Workers,6
8321,832111,Chocolate Packers,6
8321,832112,Container Fillers,6
8321,832113,Fruit and Vegetable Packers,6
8321,832114,Meat Packers,6
8321,832115,Seafood Packers,6
8321,832199,Other Packers,6
8392,839211,Plastics Factory Workers,6
8392,839212,Rubber Factory Workers,6
8393,839311,Product Examiners,6
8393,839312,Product Graders,6
8393,839313,Product Testers,6
8394,839411,Paper and Pulp Mill Workers,6
8394,839412,Sawmill and Timber Yard Workers,6
8394,839413,Wood and Wood Products Factory Workers,6
8399,839911,Cement and Concrete Plant Workers,6
8399,839912,Chemical Plant Workers,6
8399,839913,Clay Processing Factory Workers,6
8399,839914,Fabric and Textile Factory Workers,6
8399,839915,Footwear Factory Workers,6
8399,839916,Glass Processing Workers,6
8399,839917,Hide and Skin Processing Workers,6
8399,839918,Recycling Workers,6
8399,839999,Factory Process Workers (not covered elsewhere),6
8412,841211,Fruit and Nut Farm Workers,6
8412,841212,Fruit and Nut Pickers,6
8412,841213,"Grain, Oilseed and Pasture Farm Workers",6
8412,841214,Vegetable Farm Workers,6
8412,841215,Vegetable Pickers,6
8412,841216,Vineyard Workers,6
8412,841217,Mushroom Pickers,6
8412,841299,Other Crop Farm Workers,6
8413,841311,Forestry Workers,6
8413,841312,Logging Assistants,6
8413,841313,Tree Fallers,6
8414,841411,Garden Labourers,6
8414,841412,Nursery Hands (Horticulture),6
8415,841511,Beef Cattle Farm Workers,6
8415,841512,Dairy Cattle Farm Workers,6
8415,841513,Mixed Livestock Farm Workers,6
8415,841514,Poultry Farm Workers,6
8415,841515,Sheep Farm Workers,6
8415,841516,Stablehands,6
8415,841517,Wool Handlers,6
8415,841599,Other Livestock Farm Workers,6
8419,841911,Hunter-Trappers,6
8419,841913,Pest Controllers,6
8419,841999,"Farm, Forestry and Garden Workers (not covered elsewhere)",6
8512,851211,Pastrycook's Assistants,6
8512,851299,Other Food Trades Assistants,6
8911,891111,Freight Handlers (Rail or Road),6
8911,891112,Truck Driver's Offsiders,6
8911,891113,Waterside Workers,6
8992,899211,Deck Hands,6
8992,899212,Fishing Hands,6
8994,899411,Motor Vehicle Parts and Accessories Fitters (General),6
8994,899412,Autoglaziers,6
8994,899413,Exhaust and Muffler Repairers,6
8994,899414,Radiator Repairers,6
8994,899415,Tyre Fitters,6
8995,899511,Printer's Assistants,6
8995,899512,Printing Table Workers,6
8999,899911,Bicycle Mechanics,6
8999,899912,Car Park Attendants,6
8999,899913,Crossing Supervisors,6
8999,899914,Electrical and Telecommunications Trades Assistants,6
8999,899915,Leaflet and Newspaper Deliverers,6
8999,899916,Mechanic's Assistants,6
8999,899917,Railways Assistants,6
8999,899918,Sign Erectors,6
8999,899921,Ticket Collectors and Ushers,6
8999,899922,Trolley Collectors,6
8999,899923,Road Traffic Controllers,6
8999,899999,Labourers (not covered elsewhere),6
