Organisation_Code,Legal_Name,Is_RTO,Status,Registration_Manager,Legal_Authority,Head_Office_Physical_Address,Head_Office_Location_State,Latitude,Longitude,RTO_Type,NSW_Delivery_Approved,VIC_Delivery_Approved,QLD_Delivery_Approved,SA_Delivery_Approved,WA_Delivery_Approved,TAS_Delivery_Approved,NT_Delivery_Approved,ACT_Delivery_Approved
41511,ALPINE TRAINING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"5 George St, NORTH STRATHFIELD, NSW, 2137",New South Wales,-33.86323,151.08851,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41512,AUSTRALIAN ACADEMY OF DENTAL ASSISTING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Shop 8 3460 Pacific Hwy, SPRINGWOOD, QLD, 4127",Queensland,-27.6307,153.1322,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41516,ST. PATRICK INSTITUTE OF TECHNOLOGY PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"9 Jessica Bvd, MINYAMA, QLD, 4575",Queensland,-26.6937,153.12648,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41517,SRBM GROUP AUSTRALIA PTY. LTD.,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 1 416-420 Collins St, MELBOURNE, VIC, 3000",Victoria,-37.81344,144.97383,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41518,WILS TRAINING Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"11 McGuinn Crescent, Dubbo, NSW, 2830",New South Wales,-32.26444,148.61991,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41524,Ghost Media Group Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 7 741 Main Rd, ELTHAM, VIC, 3095",Victoria,-37.70163,145.1728,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41525,PRIOLETTI CONSULTANTS PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"290 Manningham Rd, TEMPLESTOWE LOWER, VIC, 3107",Victoria,-37.77363,145.11208,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41526,ST. MOSES THE BLACK PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"2 / 61 Scott Street, Liverpool, NSW, 2170",New South Wales,-33.92488,150.92423,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41530,NATIONAL AUSTRALIAN INSTITUTE OF TECHNOLOGY PTY. LTD.,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"373-375 Bridge Road, Richmond, VIC, 3121",Victoria,-37.81874,145.00296,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41531,Enhance College Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 2 12-14 Wentworth St, PARRAMATTA, NSW, 2150",New South Wales,-33.819172,151.005687,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41532,New York College Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"310 Montague Rd, WEST END, QLD, 4101",Queensland,-27.48111,153.00509,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
