Organisation_Code,Legal_Name,Is_RTO,Status,Registration_Manager,Legal_Authority,Head_Office_Physical_Address,Head_Office_Location_State,Latitude,Longitude,RTO_Type,NSW_Delivery_Approved,VIC_Delivery_Approved,QLD_Delivery_Approved,SA_Delivery_Approved,WA_Delivery_Approved,TAS_Delivery_Approved,NT_Delivery_Approved,ACT_Delivery_Approved
1,Office of the Student Identifiers Registrar,TRUE,Current,TVET Australia,Office of the Student Identifiers Registrar,"50 Marcus Clarke Street, Canberra, ACT, 2600",Australian Capital Territory,-35.27742,149.12671,Other – Not Elsewhere Classified,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Adelaide Training and Employment Centre Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"275 Grand Junction Road, Ottoway, SA, 5013",South Australia,-34.8504,138.54116,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49,Australian Institute of Management Education and Training Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Ground Floor 7-15 Macquarie Pl, SYDNEY, NSW, 2000",New South Wales,-33.86274,151.20983,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,Australian Institute of Management-Western Australian Human Resource Development Centre Limited,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"76 Birkdale Street, Floreat, WA, 6014",Western Australia,-31.94718,115.80264,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
64,The University of Notre Dame Australia,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"88 Guy Street, Broome, WA, 6725",Western Australia,-17.96128,122.22402,University - Non-Government Catholic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,Heather Langton Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Ground Floor 145 South Tce, ADELAIDE, SA, 5000",South Australia,-34.93533,138.59916,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
95,Cairns Business College Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 38 71 Eagle St, BRISBANE CITY, QLD, 4000",Queensland,-27.4684,153.03021,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101,Canberra Institute of Technology,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"36 Bradley Street, PHILLIP, ACT, 2606",Australian Capital Territory,-35.346498,149.087247,"Technical And Further Education Institute, Skills Institute Or Polytechnic",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104,Career Employment Australia Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"29 Cambridge Street, Coorparoo, QLD, 4151",Queensland,-27.48831,153.05406,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
109,Australian College of the Arts Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"208-224 Wellington St, COLLINGWOOD, VIC, 3066",Victoria,-37.80232,144.98701,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111,Photography Holdings Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"37 Thistlethwaite St, SOUTH MELBOURNE, VIC, 3205",Victoria,-37.83114,144.9526,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,Impact Community Services Limited,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"106-108 Bargara Road, Bundaberg East, QLD, 4670",Queensland,-24.85341,152.38015,Community Based Adult Education Provider,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
137,ASHT Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 2/ 97  Pirie Street, Adelaide, SA, 5000",South Australia,-34.9258,138.60342,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
142,Chabad Institutions of Victoria Limited,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"88 Hotham Street, East St Kilda, VIC, 3183",Victoria,-37.86792,144.99994,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
167,Institute for Aboriginal Development (Aboriginal Corporation),TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"8 South Tce, THE GAP, NT, 0870",Northern Territory,-23.712177,133.877166,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
168,Nungalinya College Indigenous Corporation,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Dripstone Road, Casuarina, NT, 0810",Northern Territory,-12.37616,130.87748,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
170,The Suzan Johnston Organization (Aust) Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 22 120 Spencer St, MELBOURNE, VIC, 3000",Victoria,-37.81821,144.95433,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
173,Holmes Commercial Colleges (Melbourne) Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"185 Spring Street, Melbourne, VIC, 3000",Victoria,-37.8103,144.97227,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
186,Clip Joint Academy of Hairdressing Pty Ltd as trustee for the Clip Joint Academy Unit Trust,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"1st Floor
86 Gawler Place, Adelaide, SA, 5000",South Australia,-34.92464,138.6022,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
195,PARTEC (QLD) Pty. Ltd.,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"1030 CAVENDISH RD, Mount Gravatt East, QLD, 4122",Queensland,-27.52597,153.09173,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
201,Transport Industries Skills Centre Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"441 Sutton Rd, Majura, ACT, 2609",Australian Capital Territory,-35.32339,149.24017,Industry Association,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
249,MVJ Enterprises Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"339 Albany Highway, Victoria Park, WA, 6100",Western Australia,-31.97353,115.89637,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
260,Chisholm Institute,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"121 Stud Road, Dandenong, VIC, 3175",Victoria,-37.97544,145.22237,"Technical And Further Education Institute, Skills Institute Or Polytechnic",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
264,SA Ambulance Service,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"216 Greenhill Road, Eastwood, SA, 5063",South Australia,-34.9408,138.61944,Enterprise - Government,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
269,Think: Colleges Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"1-37 Foveaux St, SURRY HILLS, NSW, 2010",New South Wales,-33.883864,151.209267,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
275,TAFE Queensland,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"1030 Cavendish Rd, MOUNT GRAVATT EAST, QLD, 4122",Queensland,-27.52597,153.09173,"Technical And Further Education Institute, Skills Institute Or Polytechnic",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
305,Jobs South West Inc,TRUE,Current,Western Australian Training Accreditation Council (WA TAC),Section 27(1) of the Vocational Education and Training Act WA 1996,"1/101 Victoria Street, BUNBURY, WA, 6230",Western Australia,-33.31877,115.63645,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
328,The Trustee for the Salvation Army (NSW) Property Trust,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Suite 1 Level 1 426 Church St, PARRAMATTA, NSW, 2150",New South Wales,-33.8169,151.00344,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
361,Skill Hire WA Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 3 271 Berkshire Rd, FORRESTFIELD, WA, 6058",Western Australia,-31.96523,115.99735,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
366,GEM College of International Business (Australia) Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"52 Prospect Rd, PROSPECT, SA, 5082",South Australia,-34.89255,138.59403,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
373,Charles Darwin University,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Ellengowan Drive, Casuarina, NT, 0810",Northern Territory,-12.36556,130.8743,University - Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
381,Top End Group Training Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"38 Woods Street, Darwin, NT, 0800",Northern Territory,-12.46111,130.84426,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
384,NORTHERN TERRITORY OF AUSTRALIA,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Peter McAulay Centre

McMillians Road, Berrimah, NT, 0828",Northern Territory,-12.4103,130.9228,Enterprise - Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
386,Hospitality Group Training (WA) Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"38 Parliament Place, WEST PERTH, WA, 6005",Western Australia,-31.95045,115.84465,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
389,Manageering Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"41 Eagle Dr, JANDAKOT, WA, 6164",Western Australia,-32.09699,115.88,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
392,St John Ambulance (Western Australia) Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"209 Great Eastern Highway, BELMONT, WA, 6984",Western Australia,-31.94526,115.9219,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
393,Marr Mooditj Training Aboriginal Corporation,TRUE,Current,Western Australian Training Accreditation Council (WA TAC),Section 27(1) of the Vocational Education and Training Act WA 1996,"295 Manning Road, WATERFORD, WA, 6152",Western Australia,-32.01565,115.89297,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
397,Department of Biodiversity Conservation and Attractions,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"17 Dick Perry Ave, Kensington, WA, 6151",Western Australia,-31.99318,115.88345,Enterprise - Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
412,The Real Estate Institute of Tasmania,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Real Estate House
33 Melville Street, Hobart, TAS, 7000",Tasmania,-42.87901,147.32552,Industry Association,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
416,Holmesglen Institute,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"1 Batesford Road, Chadstone, VIC, 3148",Victoria,-37.87537,145.0922,"Technical And Further Education Institute, Skills Institute Or Polytechnic",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
417,Gippsland Institute of Technical and Further Education,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Cnr Princes Drive & Monash Way, Morwell, VIC, 3840",Victoria,-38.23954,146.41954,"Technical And Further Education Institute, Skills Institute Or Polytechnic",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
427,SARINA RUSSO SCHOOLS AUSTRALIA PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"100 Eagle Street, Brisbane City, QLD, 4000",Queensland,-27.46732,153.02952,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
442,Department of Defence,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Australian Defence College, Kirkpatrick St, Weston, ACT, 2612",Australian Capital Territory,-35.32156,149.05633,Enterprise - Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
449,Youth With A Mission Canberra Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"76 Federal Highway, Watson, ACT, 2602",Australian Capital Territory,-35.22664,149.16033,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
452,The Pharmacy Guild of Australia,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"132 Leichhardt St, SPRING HILL, QLD, 4000",Queensland,-27.462338,153.025039,Industry Association,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
485,Mobile Welding Services Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"69 Melbourne Rd, RIVERSTONE, NSW, 2765",New South Wales,-33.66157,150.86024,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
561,Hamilton Secondary College,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"815 Marion Road, Mitchell Park, SA, 5043",South Australia,-34.9975,138.55739,School - Government,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
573,South Australian Metropolitan Fire Service,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"99 Wakefield Street, Adelaide, SA, 5000",South Australia,-34.92894,138.60449,Enterprise - Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
577,Logging Investigation and Training Association Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Wireless Road West, Mount Gambier, SA, 5290",South Australia,-37.80676,140.76612,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
581,Carlisle Learning and Development Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"20 Oborn Rd, MOUNT BARKER, SA, 5251",South Australia,-35.08004,138.87388,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
590,AMES Australia,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 4 1 Little Collins St, MELBOURNE, VIC, 3000",Victoria,-37.8172,144.95986,Community Based Adult Education Provider,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
609,Amana Living Incorporated,TRUE,Current,Western Australian Training Accreditation Council (WA TAC),Section 27(1) of the Vocational Education and Training Act WA 1996,"level 1/1-9 Tanunda Dr, Rivervale, WA, 6103",Western Australia,-31.952312,115.914709,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
627,MTA WA Training Inc,TRUE,Current,Western Australian Training Accreditation Council (WA TAC),Section 27(1) of the Vocational Education and Training Act WA 1996,"253 Balcatta Road, BALCATTA, WA, 6021",Western Australia,-31.86321,115.82495,Industry Association,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
645,Department for Correctional Services,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"400 King William Street, Adelaide, SA, 5000",South Australia,-34.93379,138.60071,Enterprise - Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
647,Construction Industry Training Centre Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"491 - 499 South Road, Regency Park, SA, 5942",South Australia,-34.86711,138.57191,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
649,Australian Fisheries Academy Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Fishing Industry House
Dockside, Port Adelaide, SA, 5015",South Australia,-34.79588,138.52196,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
653,Top Office Personnel Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"9 Darling Street, Ipswich, QLD, 4305",Queensland,-27.61299,152.75651,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
662,RRW and Co Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Ground Floor
167 Logan Road, Woolloongabba, QLD, 4102",Queensland,-27.49269,153.04066,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
667,Max Solutions Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Suite 4 107 Miles Platting Rd, EIGHT MILE PLAINS, QLD, 4113",Queensland,-27.57786,153.09735,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
670,The Australian Institute of Professional Counsellors Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"230 Brunswick St, FORTITUDE VALLEY, QLD, 4006",Queensland,-27.45582,153.03404,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
677,Wynnum Manly Employment and Training Assoc Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"58 Yamboyna  Street, Manly, QLD, 4179",Queensland,-27.45734,153.18083,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
678,Guardrite Security and Industry Training Pty Limited,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"86 Bathurst St, LIVERPOOL, NSW, 2170",New South Wales,-33.92421,150.92121,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
686,AUSTRALIAN TRAINING ACADEMY PTY. LTD.,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"49 Chetwynd St, LOGANHOLME, QLD, 4129",Queensland,-27.67966,153.19222,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
699,CSTC Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"878 Beaudesert Rd, COOPERS PLAINS, QLD, 4108",Queensland,-27.564,153.0233,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
709,SKILL CENTRED QUEENSLAND INC,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Lot 391 Morris St, GYMPIE, QLD, 4570",Queensland,-26.16898,152.66657,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
773,Vocational Language Learning Centres (Aust.) Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"28A Thomas Street, East Devonport, TAS, 7310",Tasmania,-41.17872,146.37029,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
812,The Quest Group Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Office 12 7 Beissel St, BELCONNEN, ACT, 2617",Australian Capital Territory,-35.23535,149.06536,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
826,First Impressions Resources Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 11 2962 Logan Rd, UNDERWOOD, QLD, 4119",Queensland,-27.61107,153.11692,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
843,Department of Justice,TRUE,Current,Western Australian Training Accreditation Council (WA TAC),Section 27(1) of the Vocational Education and Training Act WA 1996,"4 Allen Court, BENTLEY, WA, 6102",Western Australia,-32.00117,115.89727,Enterprise - Government,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
854,The Royal Life Saving Society Western Australia,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"McGillivray Road, Mount Claremont, WA, 6010",Western Australia,-31.95103,115.78715,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
855,Taminmin High School Council Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Challoner Circuit, Humpty Doo, NT, 0836",Northern Territory,-12.5791,131.10102,School - Government,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
857,Centre for Appropriate Technology Limited,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Desert Peoples Centre, Desert Knowledge Precinct, Alice Springs, NT, 0870",Northern Territory,-23.70068,133.88071,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
859,Royal Life Saving Society (Australia) NT Branch Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"77 Ross Smith Avenue, Parap, NT, 0804",Northern Territory,-12.42821,130.8415,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
860,Industries Services Training Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Factory 1 76 Minnie St, SOUTHPORT, QLD, 4215",Queensland,-27.9757,153.4036,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
872,Mercury Colleges Pty. Limited,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Lvls 1 & 2, 245 Castlereagh Street, Sydney, NSW, 2000",New South Wales,-33.8763,151.20853,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
927,Navitas Skilled Futures Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 12, 255 Elizabeth St, SYDNEY, NSW, 2000",New South Wales,-33.87571,151.2092,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
996,Royal Life Saving Society Australia South Australian Branch Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"21-31 Blacks Rd, GILLES PLAINS, SA, 5086",South Australia,-34.853943,138.652743,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1004,Catholic Church Endowment Society Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"45 Wakefield Street, Adelaide, SA, 5000",South Australia,-34.92899,138.60207,Community Based Adult Education Provider,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1007,Allstaff Training Consultants Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 2 25 Leigh St, ADELAIDE, SA, 5000",South Australia,-34.92339,138.59777,Education/training Business Or Centre: Privately Operated Registered Training Organisation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1036,The Quality Training and Hospitality College Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Suite 3, Level 1, 8 Greenhill Road, Wayville, SA, 5034",South Australia,-34.94261,138.58528,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1044,Skills Training And Placement People Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 1
60 Waymouth Street, Adelaide, SA, 5000",South Australia,-34.92568,138.59732,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1050,Licensed Club Industry Training Foundation Inc.,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"222a Henley Beach Road, Torrensville, SA, 5031",South Australia,-34.92403,138.55605,Industry Association,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
